,Name,State,Category,Policy/Incentive Type,URL,Created,Last Updated
213,Electric Vehicle Rebate Program,ME,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22181/electric-vehicle-rebate-program,06/04/2021,02/23/2023
214,Mileage Smart Program,VT,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/22249/mileage-smart-program,06/24/2021,02/23/2023
215,Vermont Electric Vehicle Incentive Program,VT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22251/vermont-electric-vehicle-incentive-program,06/25/2021,02/23/2023
216,MOR-EV,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22190/mor-ev,06/05/2021,02/23/2023
217,Energy Replacement Generation Tax Exemption,IA,Financial Incentive,Corporate Tax Exemption,https://programs.dsireusa.org/system/program/detail/966/energy-replacement-generation-tax-exemption,07/10/2003,02/23/2023
218,Sustainable Rebuilding Program,CO,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/22496/sustainable-rebuilding-program,02/22/2023,02/22/2023
219,Sustainable Rebuilding Program,CO,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/22498/sustainable-rebuilding-program,02/22/2023,02/22/2023
220,Town of Ipswich Electric Light Department Solar PV Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22497/town-of-ipswich-electric-light-department-solar-pv-rebate-program,02/22/2023,02/22/2023
221,Shrewsbury Electric & Cable Operations Solar Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22495/shrewsbury-electric-cable-operations-solar-rebate-program,02/22/2023,02/22/2023
222,Wakefield Municipal Gas & Light Department Solar Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22494/wakefield-municipal-gas-light-department-solar-rebate-program,02/22/2023,02/22/2023
223,Tax Credit for Residential Energy Storage Systems,CO,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/22490/tax-credit-for-residential-energy-storage-systems,02/22/2023,02/22/2023
224,Sales Tax Exemption for Energy Storage Systems,CO,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/22489/sales-tax-exemption-for-energy-storage-systems,02/22/2023,02/22/2023
225,Residential and Small Commercial Solar Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22488/residential-and-small-commercial-solar-rebate-program,02/22/2023,02/22/2023
226,Orlando Utilities Commission - Residential Energy Efficiency Rebate Program,FL,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1780/orlando-utilities-commission-residential-energy-efficiency-rebate-program,07/13/2006,02/22/2023
227,Commercial & Industrial Solar Rebate Program,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4457/commercial-industrial-solar-rebate-program,11/22/2010,02/22/2023
228,Low-Moderate Income Solar Renewable Energy Grant,NH,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/22493/low-moderate-income-solar-renewable-energy-grant,02/22/2023,02/22/2023
229,Commercial & Industrial Renewable Energy Grants,NH,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/5104/commercial-industrial-renewable-energy-grants,02/08/2012,02/22/2023
230,Standard Offer Program,VT,Financial Incentive,Feed-in Tariff,https://programs.dsireusa.org/system/program/detail/5680/standard-offer-program,02/17/2015,02/21/2023
231,Norwich Public Utilities (Electric) - Residential Energy Efficiency Rebate Program,CT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3112/norwich-public-utilities-electric-residential-energy-efficiency-rebate-program,11/04/2008,02/17/2023
232,National Fuel (Gas) - Residential Energy Efficiency Rebates,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3485/national-fuel-gas-residential-energy-efficiency-rebates,07/07/2009,02/17/2023
233,Chicopee Electric Light - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5239/chicopee-electric-light-commercial-energy-efficiency-rebate-program,07/18/2006,02/17/2023
234,National Grid (Electric) - Non-Residential Energy Efficiency Program (Upstate New York),NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3026/national-grid-electric-non-residential-energy-efficiency-program-upstate-new-york,07/23/2008,02/10/2023
235,Linn County Rural Electric Cooperative - Residential and Small Commercial (<75kw) rebates,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2447/linn-county-rural-electric-cooperative-residential-and-small-commercial-75kw-rebates,03/19/2007,02/08/2023
236,Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4533/farmers-electric-cooperative-kalona-residential-energy-efficiency-rebate-program,02/04/2010,02/08/2023
